"Period";"Germany";"Euro area (19 countries)";"European Union (28 countries)";"OECD - Total";"United States"
"1995Q1";8,133333;10,66667;NA;NA;5,466667
"1995Q2";8,1;10,6;NA;NA;5,666667
"1995Q3";8,266666;10,63333;NA;NA;5,666667
"1995Q4";8,433333;10,7;NA;NA;5,566667
"1996Q1";8,566667;10,76667;NA;NA;5,533333
"1996Q2";8,766666;10,8;NA;NA;5,5
"1996Q3";9;10,8;NA;NA;5,266667
"1996Q4";9,3;10,8;NA;NA;5,333333
"1997Q1";9,533334;10,83333;NA;NA;5,233333
"1997Q2";9,7;10,83333;NA;NA;5
"1997Q3";9,7;10,7;NA;NA;4,866667
"1997Q4";9,7;10,63333;NA;NA;4,666667
"1998Q1";9,666667;10,5;NA;NA;4,633333
"1998Q2";9,5;10,73333;NA;6,791625;4,4
"1998Q3";9,3;10,56667;NA;6,858458;4,533333
"1998Q4";9,066667;10,4;NA;6,824851;4,433333
"1999Q1";8,833333;10,13333;NA;6,694925;4,3
"1999Q2";8,633333;9,933333;NA;6,677969;4,266667
"1999Q3";8,466666;9,7;NA;6,627915;4,233333
"1999Q4";8,3;9,5;NA;6,471298;4,066667
"2000Q1";8,133333;9,3;9,2;6,367748;4,033333
"2000Q2";8;9;9,066667;6,201065;3,933333
"2000Q3";7,9;8,766666;8,933333;6,130099;4
"2000Q4";7,766667;8,5;8,766666;6,029962;3,9
"2001Q1";7,666667;8,3;8,7;6,154541;4,233333
"2001Q2";7,666667;8,3;8,7;6,221235;4,4
"2001Q3";7,833333;8,3;8,733334;6,433983;4,833333
"2001Q4";8,033334;8,366667;8,866667;6,757694;5,5
"2002Q1";8,166667;8,466666;8,966666;6,834221;5,7
"2002Q2";8,4;8,6;9,033334;6,900815;5,833333
"2002Q3";8,733334;8,666667;9,1;6,943897;5,733333
"2002Q4";9,1;8,8;9,1;6,985261;5,866667
"2003Q1";9,5;9;9,166667;7,026546;5,866667
"2003Q2";9,733334;9,033334;9,133333;7,131407;6,133333
"2003Q3";9,8;9,1;9,2;7,097266;6,133333
"2003Q4";9,8;9,1;9,233334;6,988762;5,833333
"2004Q1";10,06667;9,266666;9,3;7,031881;5,7
"2004Q2";10,3;9,266666;9,266666;6,94615;5,6
"2004Q3";10,36667;9,233334;9,2;6,890117;5,433333
"2004Q4";10,6;9,266666;9,166667;6,822517;5,433333
"2005Q1";10,83333;9,2;9,1;6,711455;5,3
"2005Q2";11,2;9,2;9,1;6,682996;5,1
"2005Q3";11,16667;9,033334;8,933333;6,554785;4,966667
"2005Q4";10,83333;8,966666;8,833333;6,49984;4,966667
"2006Q1";10,5;8,766666;8,6;6,295746;4,733333
"2006Q2";10,2;8,5;8,3;6,12311;4,633333
"2006Q3";9,9;8,233334;8,133333;6,033774;4,633333
"2006Q4";9,566667;8;7,866667;5,848043;4,433333
"2007Q1";9,033334;7,8;7,5;5,747686;4,5
"2007Q2";8,633333;7,533333;7,233333;5,573723;4,5
"2007Q3";8,433333;7,466667;7,133333;5,59039;4,666667
"2007Q4";8,2;7,3;6,933333;5,586408;4,8
"2008Q1";7,8;7,3;6,833333;5,596034;5
"2008Q2";7,5;7,433333;6,9;5,705569;5,333333
"2008Q3";7,133333;7,6;7,033333;6,007813;6
"2008Q4";7,1;8,033334;7,433333;6,553503;6,866667
"2009Q1";7,466667;9;8,333333;7,528754;8,266666
"2009Q2";7,766667;9,6;8,9;8,190598;9,3
"2009Q3";7,833333;9,9;9,2;8,427035;9,633333
"2009Q4";7,6;10,06667;9,433333;8,472426;9,933333
"2010Q1";7,333333;10,2;9,666667;8,510489;9,833333
"2010Q2";7,033333;10,3;9,666667;8,395324;9,633333
"2010Q3";6,766667;10,2;9,6;8,269342;9,466666
"2010Q4";6,6;10,13333;9,6;8,242463;9,5
"2011Q1";6,233333;10,03333;9,5;7,996078;9,033334
"2011Q2";5,9;10;9,5;7,974782;9,066667
"2011Q3";5,733333;10,26667;9,7;7,985985;9
"2011Q4";5,566667;10,6;10;7,954066;8,633333
"2012Q1";5,433333;10,93333;10,2;7,94244;8,266666
"2012Q2";5,4;11,3;10,43333;7,961647;8,2
"2012Q3";5,333333;11,53333;10,56667;7,95883;8,033334
"2012Q4";5,3;11,8;10,76667;8,019457;7,8
"2013Q1";5,4;12;10,96667;8,067652;7,733333
"2013Q2";5,266667;12,1;11;7,989615;7,533333
"2013Q3";5,2;12,03333;10,86667;7,870349;7,233333
"2013Q4";5,1;11,9;10,7;7,687929;6,933333
"2014Q1";5,1;11,86667;10,56667;7,591597;6,666667
"2014Q2";5;11,63333;10,3;7,397239;6,2
"2014Q3";5;11,53333;10,06667;7,321227;6,066667
"2014Q4";4,933333;11,43333;9,933333;7,133601;5,7
"2015Q1";4,766667;11,23333;9,733334;6,975728;5,533333
"2015Q2";4,7;11,06667;9,6;6,895117;5,433333
"2015Q3";4,566667;10,7;9,233334;6,684687;5,1
"2015Q4";4,466667;10,5;9,033334;6,564454;5,033333
"2016Q1";4,333333;10,3;8,866667;6,44732;4,933333
"2016Q2";4,233333;10,16667;8,666667;6,375645;4,9
"2016Q3";4,1;9,933333;8,433333;6,316349;4,9
"2016Q4";3,933333;9,733334;8,233334;6,199502;4,766667
"2017Q1";3,9;9,466666;8;6,037394;4,6
"2017Q2";3,833333;9,166667;7,733333;5,837746;4,366667
"2017Q3";3,7;9;7,533333;5,699917;4,3
"2017Q4";3,6;8,7;7,3;5,532296;4,133333
"2018Q1";3,5;8,533334;7,1;5,403142;4,066667
"2018Q2";3,4;8,266666;6,9;5,306306;3,9
"2018Q3";3,366667;8,033334;6,766667;5,266199;3,8
"2018Q4";3,3;7,933333;6,633333;5,226701;3,8
